AAPL,AAPL,AAPL,AAPL,AAPL,BRK.B,BRK.B,BRK.B,BRK.B,BRK.B,MSFT,MSFT,MSFT,MSFT,MSFT
open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
119.55,120.1,119.5,119.97,19543692.0,158.96,161.09,158.77,160.72,2546759.0,63.2,63.735,62.94,63.52,20092492.0
120.42,122.1,120.28,121.9,27354401.0,162.0,164.63,161.39,164.32,3399644.0,63.95,64.1,63.45,63.68,19656218.0
121.67,122.44,121.6,121.94,18565665.0,164.88,165.03,164.08,164.92,1994511.0,64.12,64.535,63.55,64.28,32126603.0
122.14,122.35,121.6,121.72,16502185.0,164.93,165.2999,163.46,164.41,1841090.0,65.39,65.91,64.89,65.78,38320620.0
120.93,121.62,120.66,121.56,25860686.0,164.06,164.91,163.22,164.74,2351465.0,65.69,65.79,64.8,65.12,26555160.0
121.15,121.39,120.62,121.3,35728353.0,164.64,165.06,163.08,164.14,1955831.0,64.86,65.15,64.26,64.65,20404830.0
127.03,130.49,127.01,128.75,94195072.0,164.82,165.2,163.3,163.53,2184433.0,64.36,64.62,63.47,63.57,34117550.0
127.975,129.39,127.78,128.51,27525463.0,163.31,163.31,162.27,162.96,2241290.0,63.25,63.41,62.75,63.13,39017149.0
128.31,129.19,128.16,129.07,19369683.0,164.0,164.19,162.52,163.92,2352058.0,63.5,63.7,63.07,63.67,25803370.0
129.13,130.5,128.92,130.29,22995070.0,163.8,163.93,163.04,163.35,1463805.0,63.5,63.65,63.14,63.63,14212117.0
130.54,132.09,130.45,131.51,31174732.0,163.6215,163.85,162.58,162.85,1672552.0,63.71,63.8,63.23,63.42,15715409.0
131.35,132.22,131.22,132.04,18045554.0,162.9,163.13,162.15,162.8,1562642.0,63.56,63.81,63.22,63.33,14227027.0
131.66,132.445,131.12,132.41,19677132.0,163.43,164.4229,162.82,164.05,1989250.0,63.52,64.435,63.32,64.05,19086876.0
132.46,132.94,132.06,132.12,15949884.0,164.59,164.68,163.6,164.04,1837220.0,64.25,64.3,63.975,64.0,14569167.0
133.08,133.82,132.75,133.29,18417870.0,164.71,166.24,164.44,165.86,2105516.0,64.24,64.86,64.13,64.71,16969627.0
133.43,135.09,133.25,135.01,25705409.0,165.85,167.0,165.17,166.91,2236154.0,64.55,64.72,64.02,64.57,15711785.0
135.52,136.27,134.62,135.51,28755654.0,167.21,167.34,166.12,167.26,2946312.0,64.49,64.57,64.155,64.53,12789958.0
135.67,135.9,134.8398,135.345,18654773.0,167.28,167.8,166.1,167.7,2399797.0,64.74,65.24,64.44,64.51,17220971.0
135.1,135.79,135.1,135.71,17075615.0,167.47,168.7,166.71,168.53,2664703.0,64.46,64.69,64.3,64.61,14864868.0
136.24,136.75,135.98,136.69,17736822.0,168.92,169.65,168.47,168.82,2884650.0,64.64,64.95,64.45,64.46,14724145.0
136.46,137.12,136.11,137.1,14681979.0,168.92,169.7,168.3274,169.54,2387386.0,64.35,64.39,64.05,64.36,15214027.0
137.38,137.48,136.3,136.53,16962393.0,169.96,170.16,169.1085,170.1,2349290.0,64.42,64.7285,64.195,64.62,16672741.0
135.91,136.65,135.28,136.64,17604312.0,169.5,170.275,169.22,170.12,2844539.0,64.49,64.8,64.135,64.62,17545357.0
137.04,137.435,136.28,136.94,15751594.0,170.9,171.2,170.32,170.59,2840463.0,64.54,64.54,64.045,64.22,13531600.0
137.08,137.435,136.7,136.99,16460604.0,170.9,172.2,170.51,171.65,3915178.0,64.08,64.2,63.76,63.98,17245026.0
137.89,140.15,137.595,139.79,29942341.0,173.7,177.41,173.7,177.25,5437770.0,64.16,64.99,64.0218,64.93,20817697.0
140.0,140.2786,138.76,138.93,21447349.0,177.75,177.86,175.48,175.82,3030535.0,64.69,64.75,63.88,64.0,20858111.0
138.78,139.83,138.59,139.77,15740950.0,175.97,176.46,175.04,175.51,2652880.0,63.99,64.28,63.62,64.23,14855220.0
139.365,139.77,138.5959,139.32,15047564.0,175.44,175.88,174.51,175.45,2259382.0,64.0,64.56,63.81,64.27,13531755.0
139.06,139.98,138.79,139.49,13954738.0,175.58,175.76,174.9,175.28,1934283.0,64.2,64.775,64.19,64.4,14263527.0
